Age,Sex,Employment_Type,Monthly_Income_INR,Existing_EMI_INR,CIBIL_Score,Loan_Amount_INR,Loan_Purpose,Housing_Type,Loan_Tenure_Months,Is_Default
28,male,Highly Skilled,119287,36940,746,212450,Vehicle Loan,Self-Owned,30,0
32,male,Skilled Employee,68173,12797,682,96900,Consumer Durable Loan,Self-Owned,24,1
34,male,Highly Skilled,129711,24621,770,145500,Vehicle Loan,Family-Owned,24,0
28,male,Skilled Employee,51954,10030,626,132950,Consumer Durable Loan,Self-Owned,18,1
36,female,Skilled Employee,47804,20648,714,51400,Vehicle Loan,Self-Owned,18,1
39,male,Unskilled Resident,21565,7976,798,169900,Vehicle Loan,Self-Owned,8,0
49,male,Skilled Employee,45984,9137,818,290050,Consumer Durable Loan,Rented,12,0
34,female,Skilled Employee,61526,12705,754,76250,Vehicle Loan,Self-Owned,24,0
31,male,Skilled Employee,77438,28593,692,223650,Consumer Durable Loan,Self-Owned,36,0
28,male,Skilled Employee,58574,11530,592,53400,Consumer Durable Loan,Self-Owned,6,1
75,male,Highly Skilled,99184,21857,659,330750,Vehicle Loan,Family-Owned,24,0
30,female,Skilled Employee,59096,25943,682,93200,Education Loan,Self-Owned,18,0
24,female,Highly Skilled,157728,35739,664,370400,Vehicle Loan,Self-Owned,60,0
24,female,Unskilled Resident,16248,5662,724,579500,Vehicle Loan,Rented,48,0
23,male,Skilled Employee,51246,22732,692,205500,Consumer Durable Loan,Rented,24,0
44,male,Highly Skilled,135558,35555,733,169200,Consumer Durable Loan,Rented,6,0
23,female,Unskilled Resident,35417,5498,816,105050,Consumer Durable Loan,Self-Owned,13,0
24,female,Skilled Employee,58381,13033,687,63750,Personal Loan,Rented,15,0
28,male,Skilled Employee,76455,30525,609,208450,Consumer Durable Loan,Self-Owned,24,1
31,male,Unskilled Resident,41727,17082,663,76050,Consumer Durable Loan,Self-Owned,10,0
24,female,Skilled Employee,44018,16751,766,287150,Education Loan,Family-Owned,24,0
26,female,Unskilled Resident,26302,4837,774,179950,Consumer Durable Loan,Rented,21,0
25,male,Skilled Employee,41970,16311,752,160650,Consumer Durable Loan,Rented,18,0
33,male,Highly Skilled,131157,55820,824,221950,Business Loan,Self-Owned,18,1
37,male,Unskilled Resident,37149,12265,705,197450,Vehicle Loan,Self-Owned,10,0
43,female,Unskilled Resident,42202,18242,884,72950,Consumer Durable Loan,Self-Owned,15,0
23,male,Skilled Employee,71110,28305,785,44100,Consumer Durable Loan,Self-Owned,13,1
23,female,Unskilled,32586,11408,518,187900,Consumer Durable Loan,Rented,24,1
34,male,Unskilled Resident,39519,12770,864,87150,Business Loan,Self-Owned,6,0
32,male,Skilled Employee,71273,18144,658,56800,Education Loan,Family-Owned,9,0
23,female,Skilled Employee,61951,12253,637,61800,Personal Loan,Rented,9,0
29,female,Skilled Employee,96819,32094,761,47950,Consumer Durable Loan,Self-Owned,9,0
38,male,Highly Skilled,170910,41947,580,161450,Vehicle Loan,Self-Owned,18,0
28,male,Skilled Employee,94894,38900,664,309950,Consumer Durable Loan,Rented,12,0
46,male,Skilled Employee,45788,20513,844,36350,Education Loan,Family-Owned,10,0
23,male,Unskilled Resident,20408,7667,764,62300,Vehicle Loan,Self-Owned,24,0
49,male,Skilled Employee,99379,17604,784,116550,Consumer Durable Loan,Self-Owned,12,0
26,male,Highly Skilled,115053,27222,667,223150,Consumer Durable Loan,Self-Owned,36,0
28,male,Skilled Employee,49446,9035,596,38800,Consumer Durable Loan,Self-Owned,12,1
23,female,Skilled Employee,40922,14124,776,120300,Consumer Durable Loan,Rented,30,0
61,male,Skilled Employee,73187,27778,794,61950,Education Loan,Family-Owned,18,1
37,male,Highly Skilled,141356,60458,790,169950,Consumer Durable Loan,Self-Owned,12,0
36,female,Skilled Employee,50789,14294,736,112350,Vehicle Loan,Self-Owned,12,0
21,male,Skilled Employee,72184,30347,642,88300,Consumer Durable Loan,Rented,6,0
25,male,Unskilled,16120,6663,900,123650,Consumer Durable Loan,Self-Owned,18,1
36,male,Skilled Employee,84028,20600,758,77100,Business Loan,Self-Owned,12,0
27,male,Skilled Employee,72154,29631,706,192500,Vehicle Loan,Self-Owned,18,0
22,female,Skilled Employee,57334,15061,706,182500,Consumer Durable Loan,Rented,18,0
42,male,Skilled Employee,42336,10120,731,172300,Consumer Durable Loan,Self-Owned,36,0
40,female,Skilled Employee,78141,26936,805,150050,Consumer Durable Loan,Rented,18,0
36,male,Skilled Employee,42243,10497,735,153950,Vehicle Loan,Self-Owned,36,0
33,male,Skilled Employee,59029,20014,788,303500,Consumer Durable Loan,Self-Owned,18,0
23,female,Skilled Employee,99201,33028,732,107300,Consumer Durable Loan,Rented,10,0
63,male,Highly Skilled,122265,39006,711,687800,Vehicle Loan,Family-Owned,60,0
60,female,Highly Skilled,192916,50954,771,739100,Personal Loan,Family-Owned,60,0
37,female,Skilled Employee,86714,27275,768,384250,Business Loan,Rented,48,0
34,male,Skilled Employee,91017,29939,706,116000,Consumer Durable Loan,Self-Owned,18,0
36,male,Skilled Employee,83872,26311,660,42300,Consumer Durable Loan,Family-Owned,7,0
57,male,Highly Skilled,136197,38588,747,715900,Vehicle Loan,Family-Owned,36,0
52,female,Unskilled Resident,42429,6551,726,18100,Vehicle Loan,Self-Owned,6,0
39,male,Skilled Employee,95180,31039,675,110600,Consumer Durable Loan,Self-Owned,20,0
38,female,Highly Skilled,113710,22802,652,648800,Vehicle Loan,Family-Owned,18,0
25,female,Skilled Employee,69486,23817,752,64150,Vehicle Loan,Rented,22,0
26,male,Skilled Employee,46371,17519,764,66500,Vehicle Loan,Self-Owned,12,0
26,male,Unskilled Resident,21359,6410,691,213600,Business Loan,Self-Owned,30,0
25,female,Skilled Employee,80631,25214,673,111900,Consumer Durable Loan,Self-Owned,18,0
21,female,Skilled Employee,75996,33091,653,56300,Consumer Durable Loan,Rented,18,0
40,male,Highly Skilled,110103,44498,750,368700,Consumer Durable Loan,Self-Owned,18,0
27,male,Skilled Employee,54382,23072,655,116300,Business Loan,Self-Owned,15,0
27,female,Skilled Employee,58755,23157,899,72450,Business Loan,Self-Owned,9,0
30,male,Highly Skilled,191195,34926,687,91000,Vehicle Loan,Self-Owned,18,0
19,female,Unskilled Resident,18756,3651,525,49150,Consumer Durable Loan,Rented,12,0
39,male,Highly Skilled,110609,34066,717,162450,Vehicle Loan,Family-Owned,36,0
31,female,Skilled Employee,88538,19816,714,97850,Consumer Durable Loan,Self-Owned,6,0
31,male,Highly Skilled,106478,31198,808,120300,Consumer Durable Loan,Self-Owned,9,0
32,male,Skilled Employee,75442,20241,743,588000,Education Loan,Rented,39,0
55,female,Highly Skilled,129666,40822,653,128900,Consumer Durable Loan,Family-Owned,12,0
46,male,Skilled Employee,50147,18758,697,117400,Consumer Durable Loan,Self-Owned,36,0
46,male,Skilled Employee,73561,26823,746,61150,Vehicle Loan,Rented,12,1
43,female,Unskilled Resident,41410,12686,546,75800,Consumer Durable Loan,Self-Owned,24,1
39,male,Skilled Employee,74884,29707,827,73650,Consumer Durable Loan,Self-Owned,18,1
28,male,Skilled Employee,45779,12784,653,94350,Business Loan,Self-Owned,18,0
27,male,Skilled Employee,52298,21913,833,432400,Business Loan,Self-Owned,24,0
27,male,Unskilled Resident,42901,7352,751,40100,Vehicle Loan,Self-Owned,14,0
43,male,Skilled Employee,54153,23632,770,144950,Vehicle Loan,Self-Owned,18,1
22,male,Skilled Employee,83879,29056,811,101950,Consumer Durable Loan,Self-Owned,24,0
43,male,Skilled Employee,50789,13409,765,109850,Vehicle Loan,Self-Owned,24,0
27,male,Skilled Employee,84165,17602,773,52650,Consumer Durable Loan,Self-Owned,15,0
26,male,Highly Skilled,102999,30256,706,161750,Consumer Durable Loan,Self-Owned,24,0
28,male,Skilled Employee,95318,19861,749,46950,Vehicle Loan,Self-Owned,12,0
20,female,Skilled Employee,40814,8158,673,98350,Consumer Durable Loan,Self-Owned,24,0
35,male,Highly Skilled,166077,55669,692,362650,Vehicle Loan,Self-Owned,33,0
42,male,Highly Skilled,180474,55392,877,114600,Business Loan,Self-Owned,12,0
40,male,Unskilled Resident,17443,6122,655,79850,Vehicle Loan,Rented,10,1
35,female,Skilled Employee,50457,21640,732,69050,Vehicle Loan,Self-Owned,24,0
35,male,Skilled Employee,50380,15601,729,292100,Vehicle Loan,Self-Owned,36,0
33,male,Unskilled Resident,22783,7388,695,128950,Vehicle Loan,Self-Owned,12,0
23,female,Skilled Employee,84241,14901,761,423550,Education Loan,Rented,18,0
31,female,Highly Skilled,107368,39220,767,139100,Vehicle Loan,Self-Owned,21,1
33,female,Skilled Employee,55328,14936,645,52100,Vehicle Loan,Self-Owned,18,0
20,female,Skilled Employee,96942,42947,728,159300,Vehicle Loan,Rented,15,1
30,male,Skilled Employee,66215,26284,633,101400,Vehicle Loan,Self-Owned,12,1
47,male,Unskilled Resident,15827,4854,783,47900,Vehicle Loan,Self-Owned,12,0
34,male,Highly Skilled,117306,21932,734,79550,Consumer Durable Loan,Self-Owned,21,0
25,female,Skilled Employee,59915,24434,726,138100,Consumer Durable Loan,Self-Owned,12,0
21,male,Skilled Employee,79915,31161,772,138950,Vehicle Loan,Rented,18,0
29,male,Skilled Employee,77219,15858,697,137150,Consumer Durable Loan,Self-Owned,28,0
46,male,Skilled Employee,55343,13203,793,57450,Consumer Durable Loan,Self-Owned,18,0
20,male,Skilled Employee,86403,33526,644,65650,Consumer Durable Loan,Self-Owned,9,1
55,female,Unskilled,42511,8738,832,59500,Home Renovation Loan,Family-Owned,18,0
74,male,Unskilled Resident,35260,14996,675,172400,Business Loan,Self-Owned,5,0
29,male,Highly Skilled,194263,53880,584,566400,Personal Loan,Self-Owned,24,0
36,male,Highly Skilled,90126,15872,693,93600,Consumer Durable Loan,Family-Owned,6,0
33,male,Skilled Employee,92329,36444,684,102900,Home Renovation Loan,Self-Owned,24,1
25,male,Skilled Employee,67632,17723,693,106800,Consumer Durable Loan,Self-Owned,9,0
25,male,Skilled Employee,81563,25117,738,74200,Consumer Durable Loan,Self-Owned,12,0
23,male,Unskilled Resident,26641,4893,807,33000,Home Renovation Loan,Rented,6,0
37,female,Skilled Employee,95176,14350,704,64350,Vehicle Loan,Self-Owned,24,0
65,male,Unskilled,36493,12458,664,169700,Home Renovation Loan,Self-Owned,42,0
26,female,Unskilled,35530,10820,629,30450,Business Loan,Self-Owned,12,0
39,male,Highly Skilled,195500,64136,682,94200,Vehicle Loan,Self-Owned,12,0
30,female,Skilled Employee,84327,32729,568,81000,Consumer Durable Loan,Self-Owned,12,1
29,male,Skilled Employee,43368,14917,661,131450,Personal Loan,Self-Owned,20,0
41,male,Unskilled Resident,18797,3805,819,35950,Education Loan,Self-Owned,12,0
30,female,Highly Skilled,137882,35605,654,254800,Consumer Durable Loan,Self-Owned,48,0
41,female,Unskilled Resident,28718,12112,770,62200,Education Loan,Rented,9,1
34,female,Skilled Employee,74560,28406,621,92100,Vehicle Loan,Self-Owned,36,1
35,male,Skilled Employee,51053,16183,861,128800,Consumer Durable Loan,Self-Owned,7,0
55,female,Highly Skilled,112116,25415,867,71200,Consumer Durable Loan,Self-Owned,12,0
61,male,Skilled Employee,76244,18345,767,75600,Home Renovation Loan,Self-Owned,15,0
30,male,Highly Skilled,191721,70857,879,552700,Vehicle Loan,Self-Owned,36,0
29,female,Skilled Employee,41645,16880,748,25900,Consumer Durable Loan,Self-Owned,6,0
34,male,Skilled Employee,87523,30757,781,137950,Consumer Durable Loan,Self-Owned,12,0
35,male,Highly Skilled,109256,42922,820,133500,Vehicle Loan,Self-Owned,24,1
31,male,Skilled Employee,75840,28818,734,240850,Vehicle Loan,Self-Owned,24,0
29,female,Highly Skilled,190158,37063,595,133950,Vehicle Loan,Self-Owned,24,1
36,male,Skilled Employee,93173,25826,783,195250,Vehicle Loan,Rented,11,0
35,male,Skilled Employee,77430,15168,682,169300,Vehicle Loan,Family-Owned,12,0
27,female,Skilled Employee,79282,17487,688,17150,Personal Loan,Self-Owned,6,0
32,male,Skilled Employee,94183,38688,743,229700,Consumer Durable Loan,Self-Owned,18,1
37,male,Skilled Employee,42708,12465,765,181000,Consumer Durable Loan,Self-Owned,36,0
36,male,Skilled Employee,51694,16056,732,86050,Vehicle Loan,Self-Owned,15,0
34,female,Highly Skilled,146264,29769,770,150850,Consumer Durable Loan,Rented,12,0
38,male,Skilled Employee,49524,12068,663,37700,Education Loan,Self-Owned,12,0
34,male,Skilled Employee,71880,15747,716,97500,Business Loan,Self-Owned,18,1
63,male,Skilled Employee,97545,20665,787,146200,Vehicle Loan,Self-Owned,24,0
29,female,Unskilled Resident,34891,11911,861,82950,Consumer Durable Loan,Rented,24,0
32,male,Skilled Employee,79224,17989,890,361900,Consumer Durable Loan,Self-Owned,48,0
26,female,Skilled Employee,76980,26142,754,138200,Business Loan,Self-Owned,33,0
35,male,Unskilled Resident,28224,4728,787,233950,Vehicle Loan,Self-Owned,24,0
22,male,Skilled Employee,80738,15544,878,154600,Consumer Durable Loan,Rented,24,0
23,female,Skilled Employee,65150,15138,666,22400,Education Loan,Self-Owned,6,0
28,male,Unskilled Resident,31920,10505,770,32700,Vehicle Loan,Self-Owned,9,0
36,male,Highly Skilled,189929,66997,781,61900,Education Loan,Self-Owned,6,0
33,male,Skilled Employee,83082,23496,835,62250,Consumer Durable Loan,Self-Owned,18,0
26,female,Skilled Employee,47973,13611,629,155700,Consumer Durable Loan,Rented,18,0
24,male,Skilled Employee,48577,17845,644,128450,Vehicle Loan,Self-Owned,39,1
25,male,Skilled Employee,48070,7438,721,257600,Consumer Durable Loan,Self-Owned,24,0
39,male,Unskilled Resident,42857,10813,750,51850,Business Loan,Self-Owned,12,0
44,male,Skilled Employee,48666,19252,809,73900,Consumer Durable Loan,Self-Owned,15,0
23,female,Unskilled Resident,39993,13236,761,178650,Consumer Durable Loan,Self-Owned,12,0
26,male,Skilled Employee,95642,24022,707,60050,Vehicle Loan,Self-Owned,24,1
57,female,Skilled Employee,76368,32201,753,181100,Consumer Durable Loan,Rented,30,0
30,female,Skilled Employee,46783,17861,744,48000,Consumer Durable Loan,Self-Owned,15,0
44,male,Skilled Employee,85994,19732,859,58150,Vehicle Loan,Self-Owned,12,0
47,male,Highly Skilled,131914,45323,733,60450,Vehicle Loan,Self-Owned,6,0
52,male,Skilled Employee,44971,14783,689,153850,Consumer Durable Loan,Self-Owned,12,0
62,female,Skilled Employee,53490,14461,755,187850,Vehicle Loan,Family-Owned,24,0
35,male,Unskilled Resident,32589,8475,735,70900,Vehicle Loan,Rented,10,0
26,male,Skilled Employee,85719,21692,594,175900,Vehicle Loan,Rented,6,0
26,male,Skilled Employee,85080,28514,718,96700,Consumer Durable Loan,Self-Owned,12,0
42,female,Highly Skilled,157526,44536,711,415900,Business Loan,Family-Owned,27,0
27,female,Skilled Employee,45299,18099,676,61850,Consumer Durable Loan,Self-Owned,6,0
38,male,Skilled Employee,85765,30093,802,18400,Consumer Durable Loan,Self-Owned,6,1
39,male,Unskilled Resident,34956,5976,657,106100,Vehicle Loan,Rented,12,0
20,male,Skilled Employee,62359,21329,756,149800,Consumer Durable Loan,Self-Owned,24,0
29,male,Highly Skilled,136240,31518,708,451700,Consumer Durable Loan,Rented,36,0
40,male,Skilled Employee,95472,31299,728,79250,Consumer Durable Loan,Self-Owned,24,0
32,male,Unskilled Resident,19380,6861,752,65050,Consumer Durable Loan,Self-Owned,18,0
28,male,Skilled Employee,68734,15069,615,66150,Vehicle Loan,Self-Owned,6,1
27,female,Skilled Employee,44757,12847,735,156150,Vehicle Loan,Self-Owned,24,0
42,male,Skilled Employee,59097,12238,900,274650,Vehicle Loan,Family-Owned,36,0
49,male,Skilled Employee,50395,8350,595,56300,Consumer Durable Loan,Self-Owned,9,1
38,male,Skilled Employee,56241,14821,715,60800,Consumer Durable Loan,Self-Owned,24,0
24,female,Skilled Employee,78356,20285,809,60350,Vehicle Loan,Rented,24,0
27,male,Unskilled Resident,42696,19155,744,65450,Vehicle Loan,Self-Owned,10,0
36,male,Skilled Employee,90118,25585,775,118000,Vehicle Loan,Self-Owned,15,0
34,male,Highly Skilled,160480,40131,529,342500,Vehicle Loan,Self-Owned,15,0
28,male,Skilled Employee,86163,27929,767,70650,Consumer Durable Loan,Self-Owned,24,0
45,male,Highly Skilled,109816,19396,659,429400,Vehicle Loan,Self-Owned,39,0
26,male,Skilled Employee,89840,39394,744,37950,Vehicle Loan,Self-Owned,12,1
32,male,Highly Skilled,192547,65559,717,234300,Vehicle Loan,Family-Owned,36,0
26,male,Skilled Employee,92853,34954,900,134350,Business Loan,Rented,15,1
20,male,Skilled Employee,64917,13057,763,29250,Consumer Durable Loan,Rented,12,0
54,male,Skilled Employee,71195,19425,710,112750,Vehicle Loan,Self-Owned,24,0
37,female,Skilled Employee,61566,17041,599,30450,Vehicle Loan,Self-Owned,6,0
40,male,Unskilled Resident,24916,9880,729,68050,Vehicle Loan,Self-Owned,6,0
23,female,Skilled Employee,95856,14413,785,356350,Consumer Durable Loan,Rented,36,0
43,male,Skilled Employee,60806,14609,713,60150,Vehicle Loan,Self-Owned,6,0
36,male,Skilled Employee,49984,22211,679,35000,Consumer Durable Loan,Family-Owned,6,1
44,male,Skilled Employee,41759,12213,674,275350,Home Renovation Loan,Family-Owned,24,0
24,female,Skilled Employee,81949,21696,762,159500,Consumer Durable Loan,Self-Owned,18,0
53,male,Skilled Employee,66838,12428,780,355950,Consumer Durable Loan,Family-Owned,48,0
23,female,Skilled Employee,42482,18787,828,174400,Vehicle Loan,Self-Owned,24,1
26,female,Unskilled Resident,39442,6153,640,55650,Consumer Durable Loan,Self-Owned,18,0
30,male,Skilled Employee,73719,27361,762,398300,Vehicle Loan,Self-Owned,26,1
31,female,Skilled Employee,98066,37321,710,76600,Education Loan,Self-Owned,15,1
42,male,Unskilled Resident,42965,9585,712,75150,Consumer Durable Loan,Self-Owned,4,0
31,male,Skilled Employee,42079,14789,752,115100,Consumer Durable Loan,Rented,36,0
41,male,Unskilled Resident,17717,3151,752,33100,Vehicle Loan,Self-Owned,6,0
32,male,Skilled Employee,99676,22637,762,113650,Education Loan,Self-Owned,36,0
28,female,Skilled Employee,67952,26254,635,131550,Vehicle Loan,Rented,15,1
41,male,Skilled Employee,60908,24936,660,75150,Vehicle Loan,Rented,12,0
26,male,Skilled Employee,82460,27421,838,65550,Consumer Durable Loan,Self-Owned,24,0
25,male,Skilled Employee,64861,19591,702,155250,Consumer Durable Loan,Self-Owned,24,0
33,male,Skilled Employee,47311,9357,744,115950,Education Loan,Rented,21,0
75,female,Highly Skilled,183607,31017,804,68700,Vehicle Loan,Self-Owned,6,0
37,female,Skilled Employee,63570,11779,757,180600,Consumer Durable Loan,Self-Owned,18,0
42,male,Highly Skilled,108449,23664,763,388150,Vehicle Loan,Family-Owned,48,0
45,female,Unskilled Resident,15768,3981,791,152450,Consumer Durable Loan,Self-Owned,18,0
23,male,Skilled Employee,78258,20681,550,76700,Consumer Durable Loan,Rented,12,0
60,male,Skilled Employee,88302,22419,680,101600,Vehicle Loan,Family-Owned,24,0
31,male,Skilled Employee,68865,15268,757,317500,Consumer Durable Loan,Self-Owned,30,0
34,male,Unskilled Resident,21645,6556,831,143200,Consumer Durable Loan,Self-Owned,18,0
61,male,Unskilled Resident,36467,14498,725,62750,Vehicle Loan,Self-Owned,12,0
43,male,Skilled Employee,78000,18245,652,66650,Vehicle Loan,Family-Owned,24,0
37,female,Skilled Employee,66737,28878,654,101100,Vehicle Loan,Self-Owned,24,0
32,male,Skilled Employee,51485,21211,790,77600,Consumer Durable Loan,Self-Owned,24,0
24,female,Unskilled Resident,20797,4128,702,31300,Consumer Durable Loan,Self-Owned,12,0
35,male,Skilled Employee,65522,25283,719,442900,Vehicle Loan,Family-Owned,48,0
23,female,Skilled Employee,94078,30328,769,49800,Home Renovation Loan,Self-Owned,12,0
45,male,Unskilled Resident,37400,11966,487,87500,Consumer Durable Loan,Self-Owned,6,1
34,male,Skilled Employee,92487,24722,880,349950,Consumer Durable Loan,Self-Owned,48,0
27,male,Skilled Employee,52342,15720,661,99750,Vehicle Loan,Self-Owned,12,0
67,female,Highly Skilled,130806,35206,739,59950,Education Loan,Self-Owned,9,0
22,male,Skilled Employee,88770,27689,583,66550,Consumer Durable Loan,Self-Owned,12,0
28,female,Skilled Employee,53087,17963,686,113900,Vehicle Loan,Self-Owned,18,0
29,female,Skilled Employee,77641,27352,819,250150,Vehicle Loan,Self-Owned,21,0
27,male,Skilled Employee,74249,22998,566,177600,Consumer Durable Loan,Self-Owned,24,1
31,male,Unskilled Resident,25093,9194,810,96400,Consumer Durable Loan,Self-Owned,18,0
49,male,Skilled Employee,95457,18364,698,148200,Vehicle Loan,Family-Owned,24,0
24,male,Unskilled Resident,34835,7440,758,77300,Consumer Durable Loan,Rented,24,0
29,female,Skilled Employee,87190,34494,772,34150,Consumer Durable Loan,Self-Owned,6,1
37,male,Skilled Employee,56438,13926,755,619450,Vehicle Loan,Family-Owned,36,0
37,male,Highly Skilled,195947,30737,650,235600,Business Loan,Self-Owned,24,0
23,female,Skilled Employee,66399,13023,690,77650,Consumer Durable Loan,Rented,24,0
36,male,Skilled Employee,59846,12991,603,68600,Vehicle Loan,Self-Owned,12,0
34,male,Skilled Employee,55708,24355,759,128900,Consumer Durable Loan,Self-Owned,24,0
41,male,Skilled Employee,84039,27053,856,198950,Consumer Durable Loan,Self-Owned,48,0
31,female,Skilled Employee,89984,38676,574,337900,Consumer Durable Loan,Self-Owned,48,1
23,female,Unskilled Resident,27600,8902,659,161700,Consumer Durable Loan,Rented,24,0
38,male,Skilled Employee,50998,14983,705,297700,Consumer Durable Loan,Self-Owned,30,0
26,female,Highly Skilled,145106,35423,733,271650,Vehicle Loan,Rented,24,0
22,female,Unskilled Resident,29295,9723,790,40300,Business Loan,Self-Owned,15,0
27,male,Unskilled Resident,25682,4924,707,54100,Consumer Durable Loan,Self-Owned,9,0
24,female,Skilled Employee,89148,37395,694,139400,Consumer Durable Loan,Self-Owned,15,1
27,female,Skilled Employee,48519,19349,808,146500,Consumer Durable Loan,Self-Owned,12,0
33,female,Skilled Employee,96373,23636,772,96350,Education Loan,Self-Owned,24,0
27,male,Skilled Employee,71480,31153,763,141000,Vehicle Loan,Self-Owned,36,0
27,male,Unskilled Resident,34694,13792,729,46850,Education Loan,Self-Owned,24,0
30,male,Skilled Employee,43300,15150,798,52800,Vehicle Loan,Self-Owned,18,0
49,male,Unskilled Resident,21722,4051,667,156200,Vehicle Loan,Self-Owned,12,0
26,female,Skilled Employee,79986,23473,656,69400,Consumer Durable Loan,Rented,9,0
33,male,Unskilled Resident,39160,11819,779,119200,Home Renovation Loan,Rented,36,0
52,female,Highly Skilled,175595,38589,589,106650,Vehicle Loan,Family-Owned,12,0
20,female,Skilled Employee,75822,13192,727,101950,Consumer Durable Loan,Rented,18,0
36,male,Skilled Employee,53575,20520,694,139950,Vehicle Loan,Rented,9,0
21,male,Unskilled Resident,22970,4286,607,64450,Consumer Durable Loan,Self-Owned,12,0
47,male,Unskilled Resident,17143,5627,645,60850,Personal Loan,Self-Owned,18,0
60,male,Skilled Employee,61591,26541,711,112300,Consumer Durable Loan,Self-Owned,12,1
58,female,Unskilled Resident,24503,10115,802,19250,Consumer Durable Loan,Self-Owned,12,0
42,female,Skilled Employee,87917,20513,667,98250,Vehicle Loan,Rented,24,0
36,female,Unskilled Resident,33922,13753,817,78600,Business Loan,Self-Owned,21,0
20,female,Unskilled Resident,27175,4078,725,135900,Vehicle Loan,Rented,24,0
40,male,Highly Skilled,144771,22483,824,67900,Personal Loan,Self-Owned,24,0
32,female,Unskilled Resident,23356,7725,671,46550,Vehicle Loan,Self-Owned,6,0
23,female,Skilled Employee,95764,24844,716,72100,Vehicle Loan,Rented,24,0
36,male,Unskilled Resident,36389,9677,749,212050,Business Loan,Self-Owned,24,0
31,male,Skilled Employee,87838,28049,705,138750,Vehicle Loan,Self-Owned,18,0
32,male,Skilled Employee,40822,8471,796,193150,Business Loan,Family-Owned,24,0
45,female,Skilled Employee,57327,12240,543,116450,Consumer Durable Loan,Self-Owned,7,0
30,female,Skilled Employee,87057,25714,900,45900,Consumer Durable Loan,Self-Owned,9,0
34,female,Unskilled Resident,21150,7958,788,91850,Education Loan,Family-Owned,24,0
28,female,Highly Skilled,94425,31712,706,167450,Consumer Durable Loan,Self-Owned,36,0
23,female,Skilled Employee,98118,23470,675,63750,Consumer Durable Loan,Self-Owned,10,0
22,male,Skilled Employee,56032,15638,650,141400,Consumer Durable Loan,Self-Owned,24,0
74,male,Highly Skilled,92198,18550,771,226300,Business Loan,Self-Owned,24,0
50,female,Skilled Employee,93394,16100,799,133550,Consumer Durable Loan,Family-Owned,36,0
33,male,Skilled Employee,60079,23118,706,102550,Consumer Durable Loan,Self-Owned,18,0
45,male,Skilled Employee,76220,17501,808,65000,Vehicle Loan,Family-Owned,15,0
22,female,Skilled Employee,81874,16647,647,37050,Personal Loan,Self-Owned,12,1
48,female,Unskilled Resident,28859,10316,633,62000,Vehicle Loan,Family-Owned,10,1
29,female,Skilled Employee,90460,30341,865,167850,Consumer Durable Loan,Self-Owned,21,0
22,female,Skilled Employee,71419,24279,767,181600,Vehicle Loan,Rented,24,0
22,female,Skilled Employee,93329,20408,831,90400,Consumer Durable Loan,Self-Owned,18,0
48,male,Highly Skilled,98705,21694,651,610200,Business Loan,Self-Owned,48,1
27,male,Highly Skilled,132880,28734,646,457850,Consumer Durable Loan,Family-Owned,60,0
37,male,Skilled Employee,63236,12781,691,183800,Vehicle Loan,Rented,6,0
21,female,Skilled Employee,62419,21641,654,172050,Consumer Durable Loan,Rented,30,0
49,male,Unskilled Resident,34978,14145,776,32000,Vehicle Loan,Self-Owned,12,0
27,male,Skilled Employee,77609,28505,659,182600,Business Loan,Self-Owned,21,0
32,male,Skilled Employee,55358,21458,626,76500,Vehicle Loan,Self-Owned,18,1
38,male,Skilled Employee,74177,20134,731,195700,Business Loan,Self-Owned,48,0
22,female,Skilled Employee,69378,24020,616,92900,Consumer Durable Loan,Rented,12,1
65,male,Skilled Employee,77334,19818,576,130000,Consumer Durable Loan,Family-Owned,18,0
35,male,Skilled Employee,51382,15807,730,98950,Consumer Durable Loan,Self-Owned,15,0
41,male,Skilled Employee,93643,27576,580,105800,Consumer Durable Loan,Self-Owned,6,0
29,male,Skilled Employee,90707,18419,782,71850,Vehicle Loan,Self-Owned,9,0
36,male,Skilled Employee,54596,14529,608,202100,Consumer Durable Loan,Self-Owned,42,1
64,male,Unskilled Resident,15804,6940,540,191600,Education Loan,Self-Owned,9,1
28,female,Skilled Employee,53221,11952,696,183000,Consumer Durable Loan,Self-Owned,24,0
44,male,Skilled Employee,41279,7848,731,77650,Consumer Durable Loan,Self-Owned,18,0
23,male,Skilled Employee,85960,23688,759,72200,Consumer Durable Loan,Self-Owned,15,1
19,female,Skilled Employee,47083,18225,733,99000,Consumer Durable Loan,Rented,9,0
25,female,Unskilled Resident,37370,12131,635,67750,Vehicle Loan,Self-Owned,24,0
47,male,Skilled Employee,94771,33576,777,69650,Education Loan,Self-Owned,12,0
28,female,Skilled Employee,83861,17351,796,68800,Consumer Durable Loan,Self-Owned,24,0
21,male,Skilled Employee,57771,19392,623,782650,Consumer Durable Loan,Self-Owned,60,0
34,female,Skilled Employee,69975,17287,705,74650,Consumer Durable Loan,Self-Owned,12,0
26,male,Skilled Employee,85648,34284,698,218500,Consumer Durable Loan,Self-Owned,42,1
27,female,Unskilled,42337,14343,737,37500,Education Loan,Self-Owned,18,0
38,male,Unskilled Resident,30517,6398,703,65400,Home Renovation Loan,Self-Owned,15,0
40,male,Highly Skilled,109063,18473,714,231150,Education Loan,Self-Owned,15,1
